  0%|                                                      | 0/500 [00:00<?, ?it/s]
LLM-SR rewards: ['0.9690', '0.9686', '0.9690', '0.9693', '0.0100', '0.0100', '0.9686', '0.9690', '0.9699', '0.9686', '0.9993', '0.9686', '0.0100', '0.9686', '0.9718', '0.9686', '0.0100', '0.8488', '0.0100', '0.9687', '0.9686', '0.0100', '0.9690', '0.9690', '0.9686', '0.9690', '0.6347', '0.9690', '0.0100', '0.0100', '0.9685', '0.0100', '0.9689', '0.9690', '0.9688', '0.0100', '0.9690', '0.9679', '0.9687', '0.0100', '0.8501', '0.9685', '0.0100', '0.9685', '0.9686', '0.0100', '0.9684', '0.9685', '0.9686', '0.9684', '0.9686', '0.9739', '0.9690', '0.9685', '0.9685', '0.9686', '0.9690', '0.9700', '0.9686', '0.9693', '0.9690', '0.9685', '0.9692', '0.0100']
Reward statistics - Mean: 0.7507, Std: 0.3946, Min: 0.0100, Max: 0.9993
{'loss': 0.0, 'grad_norm': 0.311776727437973, 'learning_rate': 1.0000000000000001e-07, 'num_tokens': 100224.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.750705361366272, 'rewards/llmsr_reward_function/std': 0.3977537453174591, 'reward': 0.750705361366272, 'reward_std': 0.3977537155151367, 'frac_reward_zero_std': 0.0, 'kl': 0.00013887503155274317, 'clip_ratio': 0.0, 'epoch': 0.12}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.969000
Computed reward for completion: 0.968516
Computed reward for completion: 0.969009
Computed reward for completion: 0.010000
Computed reward for completion: 0.848701
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968579
Computed reward for completion: 0.968656
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969031
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.850437
Computed reward for completion: 0.968631
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.969949
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968574
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.848972
Computed reward for completion: 0.968592
Computed reward for completion: 0.848701
Computed reward for completion: 0.969104
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.225161
Computed reward for completion: 0.968512
Computed reward for completion: 0.968866
Computed reward for completion: 0.010000
Computed reward for completion: 0.968594
Computed reward for completion: 0.906641
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968515
Computed reward for completion: 0.010000
Computed reward for completion: 0.999313
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968809
Computed reward for completion: 0.968512
Computed reward for completion: 0.968656
Computed reward for completion: 0.968512
Computed reward for completion: 0.853672
Computed reward for completion: 0.968583
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
LLM-SR rewards: ['0.9690', '0.9685', '0.9690', '0.0100', '0.8487', '0.9686', '0.9686', '0.0100', '0.0100', '0.9686', '0.9690', '0.9686', '0.9687', '0.9690', '0.9690', '0.9686', '0.9690', '0.0100', '0.9685', '0.0100', '0.8504', '0.9686', '0.9686', '0.9685', '0.0100', '0.9699', '0.0100', '0.9690', '0.9686', '0.9690', '0.9686', '0.8490', '0.9686', '0.8487', '0.9691', '0.9686', '0.0100', '0.9686', '0.9686', '0.2252', '0.9685', '0.9689', '0.0100', '0.9686', '0.9066', '0.0100', '0.0100', '0.9690', '0.0100', '0.0100', '0.9685', '0.0100', '0.9993', '0.0100', '0.9690', '0.9688', '0.9685', '0.9687', '0.9685', '0.8537', '0.9686', '0.9690', '0.0100', '0.0100']
Reward statistics - Mean: 0.6927, Std: 0.4216, Min: 0.0100, Max: 0.9993
{'loss': 0.0, 'grad_norm': 0.24870586395263672, 'learning_rate': 2.0000000000000002e-07, 'num_tokens': 150336.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.692705512046814, 'rewards/llmsr_reward_function/std': 0.4249691069126129, 'reward': 0.692705512046814, 'reward_std': 0.4249690771102905, 'frac_reward_zero_std': 0.0, 'kl': 0.00013882459279557224, 'clip_ratio': 0.0, 'epoch': 0.19}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.970909
Computed reward for completion: 0.968592
Computed reward for completion: 0.968920
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.848659
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968069
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.969000
Computed reward for completion: 0.961206
Computed reward for completion: 0.010000
Computed reward for completion: 0.848761
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968631
Computed reward for completion: 0.968438
Computed reward for completion: 0.010000
Computed reward for completion: 0.969009
Computed reward for completion: 0.969009
Computed reward for completion: 0.969200
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968529
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968538
Computed reward for completion: 0.969000
Computed reward for completion: 0.968580
Computed reward for completion: 0.969010
Computed reward for completion: 0.968594
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968569
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
Computed reward for completion: 0.969192
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968593
Computed reward for completion: 0.000045
Computed reward for completion: 0.968592
Computed reward for completion: 0.968689
Computed reward for completion: 0.968592
Computed reward for completion: 0.968689
LLM-SR rewards: ['0.9709', '0.9686', '0.9689', '0.9685', '0.0100', '0.8487', '0.0100', '0.9690', '0.9686', '0.9690', '0.9681', '0.0100', '0.0100', '0.9685', '0.9690', '0.9612', '0.0100', '0.8488', '0.9686', '0.9686', '0.9686', '0.9686', '0.9684', '0.0100', '0.9690', '0.9690', '0.9692', '0.9686', '0.9686', '0.0100', '0.9685', '0.9686', '0.9690', '0.0100', '0.9685', '0.9690', '0.9686', '0.9690', '0.9686', '0.0100', '0.9685', '0.9686', '0.9686', '0.9690', '0.9685', '0.0100', '0.9686', '0.9686', '0.9686', '0.0100', '0.9692', '0.9685', '0.0100', '0.9690', '0.9690', '0.9690', '0.9685', '0.0100', '0.9686', '0.0000', '0.9686', '0.9687', '0.9686', '0.9687']
Reward statistics - Mean: 0.7550, Std: 0.3951, Min: 0.0000, Max: 0.9709
{'loss': 0.0, 'grad_norm': 0.2771753668785095, 'learning_rate': 3.0000000000000004e-07, 'num_tokens': 200448.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.7550027370452881, 'rewards/llmsr_reward_function/std': 0.3982674777507782, 'reward': 0.7550027370452881, 'reward_std': 0.3982674479484558, 'frac_reward_zero_std': 0.0, 'kl': 0.0001417796047462616, 'clip_ratio': 0.0, 'epoch': 0.25}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.969257
Computed reward for completion: 0.968512
Computed reward for completion: 0.969257
Computed reward for completion: 0.968592
Computed reward for completion: 0.968410
Computed reward for completion: 0.969791
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.970902
Computed reward for completion: 0.969000
Computed reward for completion: 0.967700
Computed reward for completion: 0.968517
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.821931
Computed reward for completion: 0.974345
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.969257
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969009
Computed reward for completion: 0.968529
Computed reward for completion: 0.969000
Computed reward for completion: 0.968809
Computed reward for completion: 0.010000
Computed reward for completion: 0.968574
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.954673
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.850434
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968689
Computed reward for completion: 0.010000
Computed reward for completion: 0.968872
Computed reward for completion: 0.969000
Computed reward for completion: 0.999264
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969260
Computed reward for completion: 0.968594
Computed reward for completion: 0.968517
Computed reward for completion: 0.968592
Computed reward for completion: 0.968631
Computed reward for completion: 0.969000
Computed reward for completion: 0.969257
Computed reward for completion: 0.010000
Computed reward for completion: 0.969010
Computed reward for completion: 0.010000
Computed reward for completion: 0.969257
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
LLM-SR rewards: ['0.9693', '0.9685', '0.9693', '0.9686', '0.9684', '0.9698', '0.0100', '0.0100', '0.9685', '0.9709', '0.9690', '0.9677', '0.9685', '0.9686', '0.9685', '0.0100', '0.8219', '0.9743', '0.9686', '0.9686', '0.0100', '0.9685', '0.9693', '0.9690', '0.0100', '0.9690', '0.9685', '0.9690', '0.9688', '0.0100', '0.9686', '0.9686', '0.9686', '0.9547', '0.0100', '0.0100', '0.0100', '0.0100', '0.9690', '0.9685', '0.8504', '0.0100', '0.9690', '0.9687', '0.0100', '0.9689', '0.9690', '0.9993', '0.9690', '0.9690', '0.0100', '0.9693', '0.9686', '0.9685', '0.9686', '0.9686', '0.9690', '0.9693', '0.0100', '0.9690', '0.0100', '0.9693', '0.0100', '0.9686']
Reward statistics - Mean: 0.7253, Std: 0.4137, Min: 0.0100, Max: 0.9993
{'loss': 0.0, 'grad_norm': 0.23796425759792328, 'learning_rate': 4.0000000000000003e-07, 'num_tokens': 250560.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.7253286838531494, 'rewards/llmsr_reward_function/std': 0.41693705320358276, 'reward': 0.7253286838531494, 'reward_std': 0.4169370234012604, 'frac_reward_zero_std': 0.0, 'kl': 0.00015363159945991356, 'clip_ratio': 0.0, 'epoch': 0.31}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.969000
Computed reward for completion: 0.969013
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.969791
Computed reward for completion: 0.968529
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.969163
Computed reward for completion: 0.968811
Computed reward for completion: 0.010000
Computed reward for completion: 0.969163
Computed reward for completion: 0.848701
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.968518
Computed reward for completion: 0.969000
Computed reward for completion: 0.967871
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968689
Computed reward for completion: 0.010000
Computed reward for completion: 0.968604
Computed reward for completion: 0.968401
Computed reward for completion: 0.010000
Computed reward for completion: 0.968920
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968438
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968967
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968751
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.906454
Computed reward for completion: 0.973910
Computed reward for completion: 0.010000
Computed reward for completion: 0.968594
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968689
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968403
Computed reward for completion: 0.969000
LLM-SR rewards: ['0.9690', '0.9690', '0.0100', '0.0100', '0.9686', '0.9685', '0.9698', '0.9685', '0.9690', '0.0100', '0.0100', '0.9686', '0.9685', '0.0100', '0.9692', '0.9688', '0.0100', '0.9692', '0.8487', '0.9686', '0.9685', '0.9685', '0.9690', '0.9679', '0.9685', '0.0100', '0.9687', '0.0100', '0.9686', '0.9684', '0.0100', '0.9689', '0.0100', '0.9686', '0.9684', '0.9686', '0.0100', '0.0100', '0.0100', '0.9686', '0.9690', '0.0100', '0.0100', '0.9690', '0.9690', '0.9688', '0.0100', '0.0100', '0.0100', '0.0100', '0.9065', '0.9739', '0.0100', '0.9686', '0.0100', '0.9686', '0.9686', '0.0100', '0.0100', '0.9687', '0.9685', '0.0100', '0.9684', '0.9690']
Reward statistics - Mean: 0.6064, Std: 0.4623, Min: 0.0100, Max: 0.9739
{'loss': 0.0, 'grad_norm': 0.27694547176361084, 'learning_rate': 5.000000000000001e-07, 'num_tokens': 300672.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.6064323782920837, 'rewards/llmsr_reward_function/std': 0.46594539284706116, 'reward': 0.6064323782920837, 'reward_std': 0.46594536304473877, 'frac_reward_zero_std': 0.0, 'kl': 0.00014367326730280183, 'clip_ratio': 0.0, 'epoch': 0.38}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968556
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968574
Computed reward for completion: 0.968592
Computed reward for completion: 0.968505
Computed reward for completion: 0.969791
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968811
Computed reward for completion: 0.969824
Computed reward for completion: 0.010000
Computed reward for completion: 0.968989
Computed reward for completion: 0.969163
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969041
Computed reward for completion: 0.925959
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968533
Computed reward for completion: 0.968603
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968574
Computed reward for completion: 0.968592
Computed reward for completion: 0.968689
Computed reward for completion: 0.968512
Computed reward for completion: 0.969257
Computed reward for completion: 0.968592
Computed reward for completion: 0.962390
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969257
Computed reward for completion: 0.968512
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968574
Computed reward for completion: 0.000045
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968335
Computed reward for completion: 0.010000
Computed reward for completion: 0.821931
Computed reward for completion: 0.010000
Computed reward for completion: 0.967794
Computed reward for completion: 0.968811
Computed reward for completion: 0.969000
Computed reward for completion: 0.968866
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969791
Computed reward for completion: 0.010000
Computed reward for completion: 0.968689
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.849984
LLM-SR rewards: ['0.0100', '0.0100', '0.9686', '0.9690', '0.9686', '0.0100', '0.9685', '0.9686', '0.9686', '0.9685', '0.9698', '0.0100', '0.9686', '0.9688', '0.9698', '0.0100', '0.9690', '0.9692', '0.9686', '0.0100', '0.9690', '0.9690', '0.9260', '0.9686', '0.9686', '0.9685', '0.9686', '0.0100', '0.9690', '0.9686', '0.9686', '0.9687', '0.9685', '0.9693', '0.9686', '0.9624', '0.0100', '0.0100', '0.9686', '0.9693', '0.9685', '0.9690', '0.0100', '0.9685', '0.9686', '0.0000', '0.9686', '0.9686', '0.9683', '0.0100', '0.8219', '0.0100', '0.9678', '0.9688', '0.9690', '0.9689', '0.0100', '0.0100', '0.9698', '0.0100', '0.9687', '0.9690', '0.0100', '0.8500']
Reward statistics - Mean: 0.7090, Std: 0.4214, Min: 0.0000, Max: 0.9698
{'loss': 0.0, 'grad_norm': 0.3030088245868683, 'learning_rate': 6.000000000000001e-07, 'num_tokens': 350784.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.7090295553207397, 'rewards/llmsr_reward_function/std': 0.4247511625289917, 'reward': 0.7090295553207397, 'reward_std': 0.4247511327266693, 'frac_reward_zero_std': 0.0, 'kl': 0.00016610377133474685, 'clip_ratio': 0.0, 'epoch': 0.44}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.010000
Computed reward for completion: 0.850938
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968532
Computed reward for completion: 0.968512
Computed reward for completion: 0.970699
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968811
Computed reward for completion: 0.969000
Computed reward for completion: 0.848777
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968974
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.964911
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968401
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.849946
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
Computed reward for completion: 0.968809
Computed reward for completion: 0.968013
Computed reward for completion: 0.010000
Computed reward for completion: 0.968594
Computed reward for completion: 0.818969
Computed reward for completion: 0.010000
Computed reward for completion: 0.933410
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968574
Computed reward for completion: 0.968592
Computed reward for completion: 0.968682
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968966
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968920
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968585
Computed reward for completion: 0.969257
Computed reward for completion: 0.010000
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
LLM-SR rewards: ['0.0100', '0.8509', '0.9690', '0.0100', '0.9685', '0.9685', '0.9707', '0.0100', '0.0100', '0.9688', '0.9690', '0.8488', '0.0100', '0.0100', '0.0100', '0.9686', '0.9690', '0.9686', '0.9690', '0.9649', '0.9690', '0.9686', '0.0100', '0.9690', '0.9684', '0.9690', '0.9686', '0.8499', '0.9686', '0.0100', '0.9688', '0.9680', '0.0100', '0.9686', '0.8190', '0.0100', '0.9334', '0.9690', '0.9686', '0.9690', '0.9686', '0.9686', '0.9687', '0.0100', '0.9686', '0.9690', '0.9686', '0.0100', '0.0100', '0.0100', '0.9690', '0.9690', '0.9690', '0.0100', '0.9690', '0.9686', '0.9689', '0.9690', '0.9685', '0.9686', '0.9693', '0.0100', '0.9686', '0.0100']
Reward statistics - Mean: 0.6906, Std: 0.4268, Min: 0.0100, Max: 0.9707
